Time,Door,Car,Speed
10:35,0376,31.0,32.0
10:35,0447,31.0,79.0
10:35,0413,31.0,36.0
10:35,0339,31.0,82.0
10:35,0467,31.0,43.0
10:35,0376,31.0,79.0
10:35,0492,31.0,50.0
10:35,0413,31.0,93.0
10:35,0511,31.0,100.0
10:35,0467,31.0,93.0
10:35,0532,31.0,90.0
10:35,0492,31.0,90.0
10:35,0532,31.0,3.0
10:35,0557,31.0,90.0
10:35,0511,31.0,86.0
10:35,0584,31.0,90.0
10:35,0532,31.0,75.0
10:35,0557,31.0,0.0
10:35,0557,31.0,82.0
10:35,0633,31.0,90.0
10:35,0608,31.0,84.0
10:35,0664,31.0,93.0
10:35,0578,31.0,82.0
10:35,0579,31.0,79.0
10:35,0681,31.0,93.0
10:35,0633,31.0,90.0
10:35,0699,31.0,93.0
10:35,0664,31.0,93.0
10:35,0750,31.0,100.0
10:35,0681,31.0,93.0
10:35,0880,31.0,93.0
10:35,0699,31.0,93.0
10:35,0610,31.0,90.0
10:35,0928,31.0,97.0
10:35,0750,31.0,43.0
10:35,0956,31.0,100.0
10:35,0880,31.0,54.0
10:35,0928,31.0,86.0
10:35,0979,31.0,97.0
10:35,1045,31.0,97.0
10:35,0950,31.0,90.0
10:35,1123,31.0,100.0
10:35,0980,31.0,93.0
10:35,1292,31.0,100.0
10:35,1045,31.0,100.0
10:35,1389,31.0,104.0
10:35,1123,31.0,100.0
10:35,1465,31.0,104.0
10:35,1292,31.0,100.0
10:35,1572,31.0,104.0
10:35,1389,31.0,97.0
10:35,1621,31.0,104.0
10:35,1465,31.0,100.0
10:35,1664,31.0,100.0
10:35,1572,31.0,100.0
10:35,1699,31.0,97.0
10:35,1621,31.0,100.0
10:35,1774,31.0,97.0
10:35,1664,31.0,100.0
10:35,1802,31.0,104.0
10:35,1699,31.0,97.0
10:35,1839,31.0,104.0
10:35,1774,31.0,108.0
10:35,1906,31.0,100.0
10:35,1802,31.0,104.0
10:35,1960,31.0,104.0
10:35,1839,31.0,100.0
10:35,2011,31.0,104.0
10:35,1906,31.0,100.0
10:35,2089,31.0,100.0
10:35,1960,31.0,100.0
10:35,2156,31.0,100.0
10:35,2011,31.0,97.0
10:35,2249,31.0,104.0
10:35,2089,31.0,97.0
10:35,2322,31.0,104.0
10:35,2156,31.0,104.0
10:35,2394,31.0,104.0
10:35,2249,31.0,100.0
10:35,2425,31.0,108.0
10:35,2322,31.0,104.0
10:35,2472,31.0,108.0
10:35,2394,31.0,108.0
10:35,2514,31.0,104.0
10:35,2425,31.0,108.0
10:35,2603,31.0,104.0
10:35,2472,31.0,104.0
10:35,2674,31.0,86.0
10:35,2514,31.0,104.0
10:35,2714,31.0,100.0
10:35,2603,31.0,104.0
10:35,2827,31.0,104.0
10:35,2674,31.0,104.0
10:35,2866,31.0,100.0
10:35,2714,31.0,104.0
10:35,2930,31.0,104.0
10:35,2827,31.0,104.0
10:35,3019,31.0,104.0
10:35,2866,31.0,108.0
10:35,3083,31.0,100.0
10:35,2930,31.0,104.0
10:35,3126,31.0,100.0
10:35,3019,31.0,54.0
10:35,3185,31.0,97.0
10:35,3083,31.0,79.0
10:35,3227,31.0,97.0
10:35,3126,31.0,100.0
10:35,3252,31.0,90.0
10:35,3185,31.0,91.0
10:35,3286,31.0,95.0
10:35,3227,31.0,97.0
10:35,3366,31.0,72.0
10:35,3252,31.0,102.0
10:35,3398,31.0,97.0
10:35,3286,31.0,97.0
10:35,3460,31.0,82.0
10:35,3366,31.0,104.0
10:35,3535,31.0,90.0
10:35,3398,31.0,97.0
10:35,3559,31.0,90.0
10:35,3460,31.0,79.0
10:35,3590,31.0,90.0
10:35,3535,31.0,86.0
10:35,3640,31.0,97.0
10:35,3561,31.0,93.0
10:35,3676,31.0,90.0
10:35,3590,31.0,90.0
10:35,3696,31.0,90.0
10:35,3640,31.0,93.0
10:35,3676,31.0,82.0
10:35,3736,31.0,82.0
10:35,3686,31.0,79.0
10:35,0099,31.0,97.0
10:35,0200,31.0,90.0
10:35,0208,31.0,86.0
10:35,0163,31.0,93.0
10:35,0271,31.0,46.0
10:35,0340,31.0,86.0
10:35,0333,31.0,90.0
10:35,0206,31.0,90.0
10:35,0447,31.0,93.0
10:35,0305,31.0,93.0
10:35,0579,31.0,97.0
10:35,0339,31.0,75.0
10:35,0334,31.0,82.0
10:35,0633,31.0,82.0
10:35,0608,31.0,90.0
10:35,0447,31.0,90.0
10:35,0750,31.0,97.0
10:35,0578,31.0,79.0
10:35,0579,31.0,82.0
10:35,0099,31.0,9.0
10:35,0147,31.0,82.0
10:35,0174,31.0,90.0
10:35,0099,31.0,59.0
10:35,0147,31.0,75.0
10:35,0174,31.0,93.0
10:35,0511,31.0,82.0
10:35,0532,31.0,86.0
10:35,0511,31.0,79.0
10:35,0532,31.0,25.0
10:35,0980,31.0,61.0
10:35,1045,31.0,97.0
10:35,0980,31.0,72.0
10:35,1045,31.0,57.0
10:35,1621,31.0,18.0
10:35,1664,31.0,93.0
10:35,1621,31.0,86.0
10:35,1664,31.0,82.0
10:35,1906,31.0,72.0
10:35,1960,31.0,72.0
10:35,1906,31.0,75.0
10:35,1960,31.0,68.0
10:35,3126,31.0,14.0
10:35,3185,31.0,86.0
10:35,3126,31.0,86.0
10:35,3185,31.0,52.0
10:35,3590,31.0,68.0
10:35,3640,31.0,90.0
10:35,3590,31.0,0.0
10:35,3640,31.0,93.0
16:00,0029,31.0,90.0
16:00,0005,31.0,82.0
16:00,0061,31.0,93.0
16:00,0017,31.0,90.0
16:00,0099,31.0,54.0
16:00,0029,31.0,86.0
16:00,0147,31.0,86.0
16:00,0174,31.0,100.0
16:00,0061,31.0,90.0
16:00,0153,31.0,79.0
16:00,0099,31.0,90.0
16:00,0213,31.0,75.0
16:00,0147,31.0,88.0
16:00,0153,31.0,79.0
16:00,0233,31.0,82.0
16:00,0256,31.0,79.0
16:00,0182,31.0,68.0
16:00,0293,31.0,90.0
16:00,0248,31.0,86.0
16:00,0340,31.0,93.0
16:00,0264,31.0,90.0
16:00,0293,31.0,50.0
16:00,0305,31.0,57.0
16:00,0376,31.0,21.0
16:00,0447,31.0,72.0
16:00,0413,31.0,39.0
16:00,0339,31.0,68.0
16:00,0467,31.0,90.0
16:00,0376,31.0,72.0
16:00,0492,31.0,90.0
16:00,0413,31.0,86.0
16:00,0511,31.0,93.0
16:00,0467,31.0,93.0
16:00,0532,31.0,90.0
16:00,0492,31.0,82.0
16:00,0532,31.0,3.0
16:00,0557,31.0,86.0
16:00,0511,31.0,82.0
16:00,0584,31.0,90.0
16:00,0532,31.0,82.0
16:00,0557,31.0,0.0
16:00,0557,31.0,39.0
16:00,0633,31.0,86.0
16:00,0608,31.0,86.0
16:00,0664,31.0,93.0
16:00,0578,31.0,54.0
16:00,0579,31.0,55.0
16:00,0681,31.0,93.0
16:00,0633,31.0,79.0
16:00,0699,31.0,93.0
16:00,0664,31.0,90.0
16:00,0750,31.0,97.0
16:00,0681,31.0,93.0
16:00,0880,31.0,68.0
16:00,0699,31.0,97.0
16:00,0610,31.0,93.0
16:00,0928,31.0,82.0
16:00,0750,31.0,93.0
16:00,0956,31.0,28.0
16:00,0880,31.0,97.0
16:00,0928,31.0,97.0
16:00,0979,31.0,93.0
16:00,1045,31.0,97.0
16:00,0950,31.0,90.0
16:00,1123,31.0,100.0
16:00,0980,31.0,97.0
16:00,1292,31.0,100.0
16:00,1045,31.0,100.0
16:00,1389,31.0,104.0
16:00,1123,31.0,100.0
16:00,1465,31.0,104.0
16:00,1292,31.0,100.0
16:00,1572,31.0,100.0
16:00,1389,31.0,100.0
16:00,1621,31.0,104.0
16:00,1465,31.0,100.0
16:00,1664,31.0,100.0
16:00,1572,31.0,108.0
16:00,1699,31.0,97.0
16:00,1621,31.0,108.0
16:00,1774,31.0,93.0
16:00,1664,31.0,25.0
16:00,1802,31.0,97.0
16:00,1699,31.0,46.0
16:00,1839,31.0,100.0
16:00,1774,31.0,108.0
16:00,1906,31.0,100.0
16:00,1802,31.0,108.0
16:00,1960,31.0,100.0
16:00,1839,31.0,104.0
16:00,2011,31.0,100.0
16:00,1906,31.0,104.0
16:00,2089,31.0,97.0
16:00,1960,31.0,104.0
16:00,2156,31.0,100.0
16:00,2011,31.0,100.0
16:00,2249,31.0,100.0
16:00,2089,31.0,104.0
16:00,2322,31.0,100.0
16:00,2156,31.0,108.0
16:00,2394,31.0,104.0
16:00,2249,31.0,104.0
16:00,2425,31.0,108.0
16:00,2322,31.0,108.0
16:00,2472,31.0,108.0
16:00,2394,31.0,108.0
16:00,2514,31.0,104.0
16:00,2425,31.0,108.0
16:00,2603,31.0,108.0
16:00,2472,31.0,104.0
16:00,2674,31.0,104.0
16:00,2514,31.0,104.0
16:00,2714,31.0,104.0
16:00,2603,31.0,108.0
16:00,2827,31.0,108.0
16:00,2674,31.0,104.0
16:00,2866,31.0,108.0
16:00,2714,31.0,104.0
16:00,2930,31.0,108.0
16:00,2827,31.0,104.0
16:00,3019,31.0,104.0
16:00,2866,31.0,104.0
16:00,3083,31.0,104.0
16:00,2930,31.0,104.0
16:00,3126,31.0,100.0
16:00,3019,31.0,100.0
16:00,3185,31.0,97.0
16:00,3083,31.0,104.0
16:00,3227,31.0,100.0
16:00,3126,31.0,97.0
16:00,3252,31.0,97.0
16:00,3185,31.0,90.0
16:00,3286,31.0,100.0
16:00,3227,31.0,100.0
16:00,3366,31.0,97.0
16:00,3252,31.0,100.0
16:00,3398,31.0,97.0
16:00,3286,31.0,97.0
16:00,3460,31.0,93.0
16:00,3366,31.0,100.0
16:00,3535,31.0,79.0
16:00,3398,31.0,86.0
16:00,3559,31.0,90.0
16:00,3460,31.0,79.0
16:00,3590,31.0,93.0
16:00,3535,31.0,79.0
16:00,3640,31.0,93.0
16:00,3561,31.0,82.0
16:00,3676,31.0,90.0
16:00,3590,31.0,86.0
16:00,3696,31.0,82.0
16:00,3640,31.0,93.0
16:00,3676,31.0,86.0
16:00,3736,31.0,86.0
16:00,3686,31.0,86.0
16:00,0099,31.0,100.0
16:00,0200,31.0,93.0
16:00,0208,31.0,97.0
16:00,0163,31.0,64.0
16:00,0271,31.0,97.0
16:00,0340,31.0,93.0
16:00,0333,31.0,93.0
16:00,0206,31.0,46.0
16:00,0447,31.0,93.0
16:00,0305,31.0,90.0
16:00,0579,31.0,93.0
16:00,0339,31.0,79.0
16:00,0334,31.0,86.0
16:00,0633,31.0,86.0
16:00,0608,31.0,90.0
16:00,0447,31.0,97.0
16:00,0750,31.0,95.0
16:00,0578,31.0,54.0
16:00,0579,31.0,82.0
16:00,0099,31.0,0.0
16:00,0147,31.0,86.0
16:00,0174,31.0,93.0
16:00,0099,31.0,57.0
16:00,0147,31.0,82.0
16:00,0174,31.0,104.0
16:00,0511,31.0,72.0
16:00,0532,31.0,84.0
16:00,0511,31.0,72.0
16:00,0532,31.0,21.0
16:00,0980,31.0,61.0
16:00,1045,31.0,97.0
16:00,0980,31.0,79.0
16:00,1045,31.0,68.0
16:00,1621,31.0,0.0
16:00,1664,31.0,97.0
16:00,1621,31.0,90.0
16:00,1664,31.0,45.0
16:00,1906,31.0,86.0
16:00,1960,31.0,75.0
16:00,1906,31.0,86.0
16:00,1960,31.0,72.0
16:00,3126,31.0,0.0
16:00,3185,31.0,90.0
16:00,3126,31.0,86.0
16:00,3185,31.0,108.0
16:00,3590,31.0,0.0
16:00,3640,31.0,93.0
16:00,3590,31.0,0.0
16:00,3640,31.0,90.0
09:50,0029,31.0,93.0
09:50,0005,31.0,90.0
09:50,0061,31.0,93.0
09:50,0017,31.0,90.0
09:50,0099,31.0,46.0
09:50,0029,31.0,90.0
09:50,0147,31.0,72.0
09:50,0174,31.0,86.0
09:50,0061,31.0,90.0
09:50,0153,31.0,68.0
09:50,0099,31.0,43.0
09:50,0213,31.0,50.0
09:50,0147,31.0,32.0
09:50,0153,31.0,57.0
09:50,0233,31.0,54.0
09:50,0256,31.0,32.0
09:50,0182,31.0,54.0
09:50,0293,31.0,14.0
09:50,0248,31.0,86.0
09:50,0340,31.0,75.0
09:50,0264,31.0,90.0
09:50,0293,31.0,86.0
09:50,0305,31.0,82.0
09:50,0376,31.0,28.0
09:50,0447,31.0,57.0
09:50,0413,31.0,32.0
09:50,0339,31.0,79.0
09:50,0467,31.0,39.0
09:50,0376,31.0,86.0
09:50,0492,31.0,61.0
09:50,0413,31.0,93.0
09:50,0511,31.0,97.0
09:50,0467,31.0,93.0
09:50,0532,31.0,90.0
09:50,0492,31.0,86.0
09:50,0532,31.0,3.0
09:50,0557,31.0,90.0
09:50,0511,31.0,90.0
09:50,0584,31.0,90.0
09:50,0532,31.0,86.0
09:50,0557,31.0,0.0
09:50,0557,31.0,86.0
09:50,0633,31.0,90.0
09:50,0608,31.0,90.0
09:50,0664,31.0,93.0
09:50,0578,31.0,72.0
09:50,0579,31.0,68.0
09:50,0681,31.0,93.0
09:50,0633,31.0,90.0
09:50,0699,31.0,93.0
09:50,0664,31.0,90.0
09:50,0750,31.0,100.0
09:50,0681,31.0,93.0
09:50,0880,31.0,93.0
09:50,0699,31.0,90.0
09:50,0610,31.0,90.0
09:50,0928,31.0,75.0
09:50,0750,31.0,43.0
09:50,0956,31.0,36.0
09:50,0880,31.0,54.0
09:50,0928,31.0,79.0
09:50,0979,31.0,93.0
09:50,1045,31.0,93.0
09:50,0950,31.0,86.0
09:50,1123,31.0,100.0
09:50,0980,31.0,97.0
09:50,1292,31.0,100.0
09:50,1045,31.0,97.0
09:50,1389,31.0,104.0
09:50,1123,31.0,97.0
09:50,1465,31.0,100.0
09:50,1292,31.0,100.0
09:50,1572,31.0,100.0
09:50,1389,31.0,100.0
09:50,1621,31.0,108.0
09:50,1465,31.0,104.0
09:50,1664,31.0,100.0
09:50,1572,31.0,104.0
09:50,1699,31.0,97.0
09:50,1621,31.0,100.0
09:50,1774,31.0,93.0
09:50,1664,31.0,97.0
09:50,1802,31.0,104.0
09:50,1699,31.0,97.0
09:50,1839,31.0,104.0
09:50,1774,31.0,100.0
09:50,1906,31.0,100.0
09:50,1802,31.0,104.0
09:50,1960,31.0,104.0
09:50,1839,31.0,104.0
09:50,2011,31.0,100.0
09:50,1906,31.0,102.0
09:50,2089,31.0,97.0
09:50,1960,31.0,100.0
09:50,2156,31.0,108.0
09:50,2011,31.0,100.0
09:50,2249,31.0,108.0
09:50,2089,31.0,100.0
09:50,2322,31.0,100.0
09:50,2156,31.0,104.0
09:50,2394,31.0,108.0
09:50,2249,31.0,100.0
09:50,2425,31.0,108.0
09:50,2322,31.0,100.0
09:50,2472,31.0,108.0
09:50,2394,31.0,108.0
09:50,2514,31.0,104.0
09:50,2425,31.0,108.0
09:50,2603,31.0,104.0
09:50,2472,31.0,104.0
09:50,2674,31.0,82.0
09:50,2514,31.0,104.0
09:50,2714,31.0,104.0
09:50,2603,31.0,104.0
09:50,2827,31.0,104.0
09:50,2674,31.0,104.0
09:50,2866,31.0,108.0
09:50,2714,31.0,108.0
09:50,2930,31.0,108.0
09:50,2827,31.0,108.0
09:50,3019,31.0,104.0
09:50,2866,31.0,104.0
09:50,3083,31.0,100.0
09:50,2930,31.0,104.0
09:50,3126,31.0,100.0
09:50,3019,31.0,75.0
09:50,3185,31.0,97.0
09:50,3083,31.0,79.0
09:50,3227,31.0,93.0
09:50,3126,31.0,93.0
09:50,3252,31.0,93.0
09:50,3185,31.0,93.0
09:50,3286,31.0,93.0
09:50,3227,31.0,100.0
09:50,3366,31.0,90.0
09:50,3252,31.0,100.0
09:50,3398,31.0,93.0
09:50,3286,31.0,93.0
09:50,3460,31.0,82.0
09:50,3366,31.0,100.0
09:50,3535,31.0,86.0
09:50,3398,31.0,86.0
09:50,3559,31.0,79.0
09:50,3460,31.0,79.0
09:50,3590,31.0,82.0
09:50,3535,31.0,86.0
09:50,3640,31.0,90.0
09:50,3561,31.0,82.0
09:50,3676,31.0,90.0
09:50,3590,31.0,90.0
09:50,3696,31.0,86.0
09:50,3640,31.0,90.0
09:50,3676,31.0,90.0
09:50,3736,31.0,84.0
09:50,3686,31.0,82.0
09:50,0099,31.0,97.0
09:50,0200,31.0,75.0
09:50,0208,31.0,46.0
09:50,0163,31.0,84.0
09:50,0271,31.0,36.0
09:50,0340,31.0,46.0
09:50,0333,31.0,18.0
09:50,0206,31.0,86.0
09:50,0447,31.0,90.0
09:50,0305,31.0,93.0
09:50,0579,31.0,97.0
09:50,0339,31.0,79.0
09:50,0334,31.0,86.0
09:50,0633,31.0,86.0
09:50,0608,31.0,90.0
09:50,0447,31.0,86.0
09:50,0750,31.0,100.0
09:50,0578,31.0,79.0
09:50,0579,31.0,82.0
09:50,0099,31.0,14.0
09:50,0147,31.0,86.0
09:50,0174,31.0,95.0
09:50,0099,31.0,57.0
09:50,0147,31.0,79.0
09:50,0174,31.0,97.0
09:50,0511,31.0,79.0
09:50,0532,31.0,82.0
09:50,0511,31.0,79.0
09:50,0532,31.0,64.0
09:50,0980,31.0,63.0
09:50,1045,31.0,93.0
09:50,0980,31.0,82.0
09:50,1045,31.0,72.0
09:50,1621,31.0,0.0
09:50,1664,31.0,97.0
09:50,1621,31.0,79.0
09:50,1664,31.0,86.0
09:50,1906,31.0,79.0
09:50,1960,31.0,72.0
09:50,1906,31.0,82.0
09:50,1960,31.0,72.0
09:50,3126,31.0,18.0
09:50,3185,31.0,82.0
09:50,3126,31.0,84.0
09:50,3185,31.0,86.0
09:50,3590,31.0,0.0
09:50,3640,31.0,93.0
09:50,3590,31.0,90.0
09:50,3640,31.0,90.0
01:20,0029,31.0,93.0
01:20,0005,31.0,90.0
01:20,0061,31.0,100.0
01:20,0017,31.0,93.0
01:20,0099,31.0,100.0
01:20,0029,31.0,100.0
01:20,0147,31.0,100.0
01:20,0174,31.0,113.0
01:20,0061,31.0,99.0
01:20,0153,31.0,100.0
01:20,0099,31.0,93.0
01:20,0213,31.0,100.0
01:20,0147,31.0,97.0
01:20,0153,31.0,97.0
01:20,0233,31.0,97.0
01:20,0256,31.0,97.0
01:20,0182,31.0,100.0
01:20,0293,31.0,100.0
01:20,0248,31.0,100.0
01:20,0340,31.0,104.0
01:20,0264,31.0,100.0
01:20,0293,31.0,100.0
01:20,0305,31.0,97.0
01:20,0376,31.0,97.0
01:20,0447,31.0,100.0
01:20,0413,31.0,100.0
01:20,0339,31.0,97.0
01:20,0467,31.0,100.0
01:20,0376,31.0,97.0
01:20,0492,31.0,104.0
01:20,0413,31.0,100.0
01:20,0511,31.0,108.0
01:20,0467,31.0,99.0
01:20,0532,31.0,100.0
01:20,0492,31.0,100.0
01:20,0532,31.0,9.0
01:20,0557,31.0,100.0
01:20,0511,31.0,93.0
01:20,0584,31.0,97.0
01:20,0532,31.0,100.0
01:20,0557,31.0,0.0
01:20,0557,31.0,100.0
01:20,0633,31.0,102.0
01:20,0608,31.0,102.0
01:20,0664,31.0,100.0
01:20,0578,31.0,97.0
01:20,0579,31.0,102.0
01:20,0681,31.0,104.0
01:20,0633,31.0,97.0
01:20,0699,31.0,100.0
01:20,0664,31.0,100.0
01:20,0750,31.0,104.0
01:20,0681,31.0,93.0
01:20,0880,31.0,104.0
01:20,0699,31.0,100.0
01:20,0610,31.0,104.0
01:20,0928,31.0,104.0
01:20,0750,31.0,104.0
01:20,0956,31.0,104.0
01:20,0880,31.0,100.0
01:20,0928,31.0,100.0
01:20,0979,31.0,108.0
01:20,1045,31.0,104.0
01:20,0950,31.0,99.0
01:20,1123,31.0,108.0
01:20,0980,31.0,100.0
01:20,1292,31.0,108.0
01:20,1045,31.0,100.0
01:20,1389,31.0,111.0
01:20,1123,31.0,104.0
01:20,1465,31.0,108.0
01:20,1292,31.0,102.0
01:20,1572,31.0,108.0
01:20,1389,31.0,104.0
01:20,1621,31.0,108.0
01:20,1465,31.0,104.0
01:20,1664,31.0,111.0
01:20,1572,31.0,100.0
